Region,Date,Total Sales Amount,Total Units Sold,Market Trend Index
East,2023-04-23,488761.85,2964,3.37
West,2023-11-25,152675.94,3708,86.44
North,2023-05-31,217228.7,3107,99.26
South,2023-10-22,338549.05,2331,61.69
East,2023-10-16,195751.14,1006,35.48
West,2023-02-01,428071.34,1048,12.98
North,2023-11-18,405849.5,3461,57.2
South,2023-04-29,317198.64,1950,66.83
East,2023-09-30,373183.25,1331,94.42
West,2023-06-19,153035.62,4854,36.15
North,2023-12-28,340659.87,2037,46.17
South,2023-11-18,499033.17,3350,78.72
East,2023-05-31,436450.43,3138,95.1
West,2023-12-26,333555.62,4143,63.49
North,2023-05-16,243453.17,1754,41.44
South,2023-06-06,133747.76,1374,19.26
East,2023-12-15,398779.3,1435,75.55
West,2023-11-13,267071.55,3847,82.34
North,2023-09-25,167458.28,2392,56.41
South,2023-02-10,346430.08,3961,29.89
East,2023-05-24,244149.59,3707,68.23
West,2023-08-30,329318.58,4302,84.33
North,2023-10-31,215724.62,3828,47.3
South,2023-08-06,319594.91,1730,41.37
East,2023-11-19,220985.73,2295,9.28
West,2023-04-14,170319.37,2656,75.91
North,2023-10-29,294177.65,2576,1.37
South,2023-02-01,325582.55,3124,13.87
East,2023-11-16,162754.36,4747,7.31
West,2023-03-02,456772.84,4335,99.96
North,2023-02-13,225619.98,2236,57.65
South,2023-12-20,463399.64,4186,10.48
East,2023-06-25,394047.5,1736,48.61
West,2023-08-05,120360.09,2226,86.53
North,2023-12-03,492664.12,4798,49.0
South,2023-05-17,201223.85,2670,52.41
East,2023-01-12,457367.28,2233,76.68
West,2023-11-08,170636.82,4714,62.06
North,2023-11-21,488869.27,1331,86.79
South,2023-10-11,452445.33,4027,81.16
East,2023-10-12,367092.74,3046,49.07
West,2023-10-16,371357.33,4616,4.92
North,2023-10-30,366764.22,1592,41.65
South,2023-04-10,279043.48,4806,95.43
East,2023-01-07,303681.54,1212,27.23
West,2023-04-16,438836.57,2160,91.99
North,2023-07-30,148347.57,3432,79.6
South,2023-03-18,395732.34,3681,13.87
East,2023-08-21,183603.07,1718,61.66
West,2023-01-04,458335.95,2735,20.91
North,2023-10-27,387691.86,3088,68.72
South,2023-02-01,100758.82,2400,76.39
East,2023-11-23,289656.39,3304,92.75
West,2023-02-08,262041.26,1590,83.31
North,2023-09-19,495446.06,3947,84.07
South,2023-02-03,416713.97,1282,61.71
East,2023-12-17,243696.95,4949,66.17
West,2023-04-03,271737.82,1675,76.8
North,2023-03-03,177766.16,3772,38.15
South,2023-11-01,220381.81,1295,78.65
East,2023-08-28,408188.36,4129,21.9
West,2023-01-27,339103.98,2463,92.24
North,2023-04-28,330410.06,4631,45.29
South,2023-10-26,380140.48,4196,17.57
East,2023-10-14,170909.42,2961,77.66
West,2023-05-19,115219.94,1055,7.89
North,2023-11-20,240217.59,3204,38.5
South,2023-11-16,242167.47,2522,23.12
East,2023-04-13,450087.41,3084,96.8
West,2023-09-14,114837.5,2136,70.57
North,2023-02-11,210768.66,3470,69.08
South,2023-02-08,469112.97,2085,39.39
East,2023-04-09,263788.56,2145,38.5
West,2023-08-04,323648.26,3395,4.87
North,2023-07-12,129167.01,4278,61.62
South,2023-10-21,372271.49,4222,74.41
East,2023-04-14,170733.3,1721,33.29
West,2023-06-17,332082.72,4874,72.62
North,2023-02-22,334401.18,2001,69.33
South,2023-06-15,311218.07,4378,32.46
East,2023-06-15,490016.4,1271,47.35
West,2023-10-28,143298.11,4811,23.44
North,2023-04-19,116207.86,2858,73.48
South,2023-01-23,148208.15,4954,94.23
East,2023-12-04,356556.37,3940,96.92
West,2023-03-16,447679.74,4750,14.89
North,2023-08-10,458761.06,2504,7.5
South,2023-07-06,497936.8,4324,52.93
East,2023-02-16,241489.25,1174,36.82
West,2023-02-07,118822.24,2560,12.53
North,2023-05-27,238026.63,4135,22.93
South,2023-07-17,332938.96,2353,10.29
East,2023-11-18,164594.47,4321,87.7
West,2023-12-07,185099.9,4610,89.46
North,2023-01-16,424733.33,1299,28.46
South,2023-05-12,425797.93,1842,51.97
East,2023-08-20,393790.03,1660,89.41
West,2023-01-27,245712.6,4505,85.24
North,2023-03-11,160495.75,3836,88.06
South,2023-03-28,422437.28,1652,90.19
East,2023-10-05,339665.94,1286,26.31
West,2023-04-23,246699.62,3003,23.88
North,2023-12-16,424224.99,3975,82.87
South,2023-01-27,388013.89,2363,99.37
East,2023-11-01,422759.08,2582,29.7
West,2023-02-26,100096.53,2132,57.65
North,2023-10-12,120236.49,3618,33.25
South,2023-02-22,129024.83,1150,44.32
East,2023-09-09,260053.17,2093,26.27
West,2023-09-30,359575.52,4628,76.17
North,2023-02-04,421409.68,2580,41.1
South,2023-03-04,370545.08,2031,65.02
East,2023-05-01,225767.12,3501,55.03
West,2023-04-02,251757.25,2393,36.81
North,2023-05-14,300891.29,1286,75.51
South,2023-06-28,424978.65,3473,36.5
East,2023-04-21,199529.96,1199,51.93
West,2023-05-11,469047.7,4482,50.7
North,2023-10-20,474101.23,3853,71.94
South,2023-03-16,336620.72,2433,23.0
East,2023-08-23,474815.7,1352,67.15
West,2023-02-01,246556.82,4452,34.0
North,2023-06-13,497969.36,1163,37.79
South,2023-12-12,249061.1,4359,24.89
East,2023-11-10,283382.11,3858,95.63
West,2023-09-22,486117.18,3149,55.62
North,2023-11-30,421257.82,4302,5.05
South,2023-02-19,113150.26,3844,19.73
East,2023-05-18,165852.52,1517,84.21
West,2023-03-31,399325.76,1740,6.49
North,2023-11-30,409843.51,3858,16.74
South,2023-08-08,472342.54,4866,65.54
East,2023-05-18,105648.61,4868,83.51
West,2023-05-28,270300.45,4464,58.27
North,2023-12-07,141815.75,4006,37.72
South,2023-12-18,225483.56,4832,38.1
East,2023-08-25,432633.09,4578,52.13
West,2023-10-01,279627.41,2468,41.26
North,2023-05-16,296181.03,2863,30.83
South,2023-08-03,194888.42,1332,46.68
East,2023-06-20,186332.9,3269,25.38
West,2023-01-19,389157.38,2122,90.32
North,2023-12-06,391035.49,1540,16.53
South,2023-12-16,104868.0,3728,14.11
East,2023-08-10,371677.62,3496,93.84
West,2023-07-20,381737.3,4688,65.0
North,2023-08-18,412571.29,3446,37.69
South,2023-07-09,492094.7,3402,61.56
East,2023-01-14,334847.07,4896,51.08
West,2023-11-17,254109.18,1796,82.3
North,2023-12-31,275378.27,4328,26.5
South,2023-05-26,291735.58,1761,9.28
East,2023-08-25,254127.66,3639,94.86
West,2023-05-11,498600.23,3473,22.43
North,2023-11-27,155487.25,4682,0.72
South,2023-12-06,440457.14,1260,28.39
East,2023-06-24,195552.26,3018,9.1
West,2023-10-22,302131.92,3042,84.79
North,2023-11-25,127678.73,4958,81.27
South,2023-11-30,124710.09,3594,81.04
East,2023-11-30,308280.69,4938,82.66
West,2023-02-07,164280.49,2187,6.3
North,2023-05-13,435646.79,1798,27.0
South,2023-09-17,105375.7,4088,12.26
East,2023-09-29,333127.37,4272,29.96
West,2023-05-22,185053.13,2412,9.06
North,2023-09-16,259853.47,4025,97.43
South,2023-08-23,361186.68,4261,90.83
East,2023-11-20,426104.47,3603,54.82
West,2023-01-19,494801.46,4079,48.82
North,2023-05-02,212053.53,3326,63.16
South,2023-05-18,477431.91,1226,38.53
East,2023-11-23,463678.42,4907,46.26
West,2023-08-17,308520.48,2125,44.09
North,2023-11-19,273817.2,3526,16.17
South,2023-06-26,109251.23,1767,60.66
East,2023-08-21,235097.53,2372,92.94
West,2023-06-11,351708.79,4707,33.8
North,2023-05-08,318773.24,2069,25.84
South,2023-10-04,371882.68,3755,62.92
East,2023-12-18,263632.7,2076,68.95
West,2023-04-05,229490.65,4240,68.15
North,2023-04-01,357914.87,4636,17.26
South,2023-10-19,364642.45,3915,28.71
East,2023-09-17,279437.22,1774,3.91
West,2023-07-01,499982.15,3358,9.28
North,2023-05-20,444252.14,2375,35.4
South,2023-09-30,127603.73,3597,37.22
East,2023-10-05,119409.22,2191,46.91
West,2023-09-11,130338.65,1055,51.35
North,2023-01-17,415900.01,2899,38.79
South,2023-08-17,489349.81,1900,58.15
East,2023-03-10,230645.05,4146,24.83
West,2023-04-07,357978.42,1905,36.46
North,2023-07-28,107750.11,3572,52.84
South,2023-04-12,220998.35,3752,67.52
East,2023-02-24,263600.33,4865,86.21
West,2023-05-03,290052.68,1542,28.33
North,2023-08-14,465792.59,3167,67.35
South,2023-08-08,379171.89,4061,69.99
East,2023-07-26,238931.5,1682,16.84
West,2023-12-14,371032.78,3132,81.97
North,2023-04-18,294900.9,1920,94.47
South,2023-10-15,136663.74,3807,43.97
East,2023-03-22,106077.74,2936,61.42
West,2023-06-04,188319.28,2083,45.16
North,2023-08-25,228774.48,2063,35.97
South,2023-04-11,167919.18,3251,66.21
East,2023-11-20,148619.88,2529,90.14
West,2023-12-09,408619.15,4785,69.88
North,2023-07-27,381110.48,3561,24.19
South,2023-05-14,104441.89,4915,52.16
East,2023-03-15,463045.24,3158,39.54
West,2023-02-09,307236.8,2342,92.7
North,2023-08-29,123243.42,2275,30.15
South,2023-04-18,297890.2,3425,50.47
East,2023-04-24,344398.23,4052,88.02
West,2023-04-29,250800.73,4095,56.88
North,2023-10-30,350917.56,2055,22.55
South,2023-05-01,384867.64,4372,19.76
East,2023-09-26,495891.23,4399,45.56
West,2023-01-30,452680.56,3673,83.66
North,2023-03-26,270331.83,3053,50.09
South,2023-11-22,278638.5,3759,26.03
East,2023-02-26,240884.77,3515,91.38
West,2023-07-06,302604.0,1544,89.42
North,2023-03-18,299446.73,1667,37.36
South,2023-02-23,219922.66,2436,61.2
East,2023-03-08,438155.98,4020,62.66
West,2023-06-06,471347.44,4525,91.21
North,2023-12-17,188199.82,2616,46.0
South,2023-03-28,461256.66,3037,20.52
East,2023-04-05,108787.53,2839,37.12
West,2023-10-11,412457.07,4527,76.16
North,2023-05-01,174375.84,3937,85.35
South,2023-11-05,406793.07,4929,62.55
East,2023-12-15,483351.03,3151,35.0
West,2023-11-17,143552.88,3580,1.16
North,2023-06-22,217018.42,1781,23.04
South,2023-01-07,495935.11,1661,8.31
East,2023-06-03,306840.5,1128,84.77
West,2023-11-19,231990.23,1500,97.95
North,2023-07-03,496731.67,1802,7.5
South,2023-08-05,366148.78,1160,73.65
East,2023-10-01,323445.98,3753,26.57
West,2023-07-22,480806.59,3813,67.73
North,2023-06-29,264123.99,4181,27.07
South,2023-01-02,380773.24,4871,75.07
East,2023-02-05,375831.94,3303,68.04
West,2023-07-08,329852.97,3450,80.26
North,2023-06-07,435808.1,2030,11.38
South,2023-10-21,323094.31,1997,3.12
East,2023-05-26,182599.55,2557,2.31
West,2023-12-27,414997.41,2372,17.18
North,2023-01-26,244033.73,1243,87.86
South,2023-08-20,210203.23,1288,2.55
East,2023-06-10,325392.43,2196,37.83
West,2023-03-24,450763.13,3836,6.8
North,2023-07-20,469147.93,2199,7.01
South,2023-09-20,238771.31,4714,29.81
East,2023-12-12,230154.04,3323,69.52
West,2023-11-07,142909.2,2450,55.64
North,2023-08-08,421064.9,1539,45.2
South,2023-10-28,160412.03,1986,74.2
East,2023-07-29,465575.51,4665,88.82
West,2023-01-26,363845.17,2249,16.25
North,2023-08-25,403169.55,1203,74.0
South,2023-06-05,134120.61,3920,94.23
East,2023-04-26,425320.51,3796,67.9
West,2023-05-27,404381.38,2749,17.22
North,2023-06-15,362070.51,1029,54.73
South,2023-05-26,221971.56,3727,75.44
East,2023-05-01,212476.35,3850,11.12
West,2023-02-15,261019.28,4109,61.46
North,2023-04-11,294035.94,1781,59.35
South,2023-03-21,433420.19,2815,12.27
East,2023-06-21,326689.46,3709,34.8
West,2023-03-09,395922.57,1235,26.58
North,2023-05-29,232396.78,2426,80.81
South,2023-06-01,310670.42,2674,5.01
East,2023-05-01,495491.29,1879,47.04
West,2023-01-23,275017.96,3415,47.12
North,2023-07-12,123486.52,3874,25.54
South,2023-01-09,350417.0,1303,16.75
East,2023-04-02,388109.08,3256,28.61
West,2023-05-20,317281.93,3727,46.42
North,2023-05-08,484533.6,1111,62.99
South,2023-08-26,187699.99,1033,61.69
East,2023-07-07,381063.5,2593,93.01
West,2023-11-21,240827.64,2877,7.9
North,2023-01-25,212224.86,3326,13.55
South,2023-06-04,302623.99,3332,7.7
East,2023-08-19,171373.82,1003,62.98
West,2023-03-27,403334.73,3224,38.53
North,2023-01-26,264103.96,4325,49.51
South,2023-08-02,489687.07,2298,40.46
East,2023-06-02,307248.85,1835,15.69
West,2023-06-10,331472.14,4564,34.86
North,2023-12-06,430872.4,4667,44.19
South,2023-07-26,187590.54,3414,16.24
East,2023-02-23,111641.19,2088,48.79
West,2023-01-10,440113.78,4054,65.02
North,2023-06-20,107840.32,4157,65.74
South,2023-03-24,144466.08,1582,67.94
East,2023-02-04,318556.17,1712,42.05
West,2023-12-27,408975.78,1065,24.13
North,2023-12-05,295891.09,1119,91.07
South,2023-11-07,128767.6,4708,71.09
East,2023-07-24,354908.12,1635,34.27
West,2023-02-14,183076.23,1946,77.6
North,2023-10-26,238820.07,2747,99.96
South,2023-08-31,368761.55,4516,19.89
East,2023-03-23,330765.06,4224,39.5
West,2023-12-15,376718.97,3516,85.67
North,2023-02-15,418190.46,2969,29.29
South,2023-11-27,387593.01,2693,22.39
East,2023-05-18,252613.63,2412,89.99
West,2023-02-18,312141.54,2604,36.57
North,2023-12-18,297001.87,1721,15.83
South,2023-09-07,193399.94,1467,58.87
East,2023-09-30,299949.61,4425,41.0
West,2023-05-25,413866.47,2561,60.69
North,2023-10-17,409073.0,1218,31.55
South,2023-12-07,348776.3,2518,79.41
East,2023-08-15,266790.72,4383,47.59
West,2023-06-14,160759.97,4046,58.06
North,2023-10-12,254614.15,3404,23.12
South,2023-01-30,347994.16,1132,32.53
East,2023-03-27,165058.29,1738,21.04
West,2023-03-19,132056.2,2691,40.86
North,2023-09-23,445159.79,4378,0.12
South,2023-08-27,301983.17,3404,45.25
East,2023-01-28,131701.36,2874,56.15
West,2023-07-05,274303.79,1822,47.06
North,2023-06-24,499633.11,2623,89.98
South,2023-10-23,294253.34,1405,40.37
East,2023-07-15,442801.23,1255,67.95
West,2023-08-26,303111.3,1211,87.44
North,2023-12-27,420768.41,1027,96.49
South,2023-05-29,130747.7,3218,44.37
East,2023-08-29,406561.97,3848,3.31
West,2023-10-16,392784.78,4256,2.46
North,2023-10-22,201913.14,2972,55.28
South,2023-06-28,193623.78,4244,29.77
East,2023-03-26,177102.36,1800,77.24
West,2023-03-29,157151.4,1396,43.81
North,2023-11-02,388563.71,2767,13.18
South,2023-06-05,180174.74,4737,30.54
East,2023-06-04,219339.19,2794,14.21
West,2023-05-17,480800.42,2989,11.32
North,2023-03-05,108976.24,4015,69.18
South,2023-10-04,109566.56,2809,82.75
East,2023-01-24,262872.3,4184,73.25
West,2023-11-15,331523.67,2384,14.29
North,2023-02-20,367102.56,2627,14.69
South,2023-09-19,260120.09,3158,24.37
East,2023-04-29,356393.65,4273,52.05
West,2023-01-31,241767.25,4949,70.51
North,2023-12-19,443233.21,2579,86.98
South,2023-08-12,386057.63,1152,3.93
East,2023-01-06,367371.61,4854,46.68
West,2023-09-15,324356.55,2792,42.21
North,2023-03-07,374412.25,4240,50.32
South,2023-12-30,265883.12,3412,16.41
East,2023-09-18,262530.02,3911,14.14
West,2023-12-30,265129.07,1156,68.34
North,2023-02-26,374057.36,1700,66.66
South,2023-08-05,371268.94,2607,37.39
East,2023-06-16,227093.63,4369,89.9
West,2023-06-15,164848.56,4923,81.79
North,2023-04-28,251184.53,2862,3.26
South,2023-10-03,304566.07,4576,56.83
East,2023-12-10,119476.54,1919,97.86
West,2023-03-25,377355.71,3826,66.73
North,2023-10-19,283460.56,3501,99.9
South,2023-08-01,169393.26,2811,58.7
East,2023-12-31,424441.5,2987,76.39
West,2023-12-05,140163.4,1806,44.07
North,2023-08-25,141631.66,3156,83.29
South,2023-07-17,491158.9,2434,32.47
East,2023-09-25,256270.48,1195,93.66
West,2023-05-11,350715.34,1881,3.86
North,2023-05-17,337596.61,2125,17.16
South,2023-07-21,150832.81,2125,14.27
East,2023-11-06,491442.04,3744,15.03
West,2023-03-20,470016.12,3748,70.7
North,2023-11-11,309696.47,3752,41.08
South,2023-11-02,237179.11,4540,36.74
East,2023-07-23,260094.28,1353,6.16
West,2023-01-31,189093.26,1390,27.59
North,2023-07-16,178409.27,4514,98.83
South,2023-10-12,391557.45,3190,85.22
East,2023-11-17,418232.4,4059,13.37
West,2023-09-05,344156.01,2124,76.02
North,2023-07-04,229074.2,4645,33.07
South,2023-05-13,463069.46,3843,57.15
East,2023-09-18,130397.4,4839,67.53
West,2023-03-26,264766.84,3550,26.4
North,2023-09-27,419868.48,4219,93.93
South,2023-05-22,419504.5,3601,74.93
East,2023-01-29,301670.47,2607,31.71
West,2023-11-07,293215.64,3417,42.84
North,2023-03-28,311305.11,2204,26.41
South,2023-05-31,200517.3,2373,23.91
East,2023-03-18,395861.83,2678,24.21
West,2023-05-29,135246.81,2928,58.71
North,2023-11-18,259182.06,1812,53.09
South,2023-03-18,289557.03,2488,40.12
East,2023-03-30,403120.33,1546,90.56
West,2023-09-23,401112.4,3435,64.35
North,2023-05-21,489589.53,4914,1.49
South,2023-08-27,212912.7,1724,0.84
East,2023-09-02,303710.32,3119,47.28
West,2023-12-24,292267.87,1948,98.07
North,2023-03-01,150206.54,4377,35.43
South,2023-02-28,194958.16,2943,92.73
East,2023-08-17,486395.69,4848,61.33
West,2023-06-03,145751.86,4303,84.6
North,2023-01-06,126144.0,3840,55.05
South,2023-03-07,282552.01,2256,56.72
East,2023-10-05,186008.66,1156,84.75
West,2023-04-14,387454.48,2642,92.5
North,2023-10-26,263728.17,3508,21.17
South,2023-09-17,224892.17,1620,4.05
East,2023-08-25,179233.74,2302,81.72
West,2023-06-30,434467.52,1281,37.24
North,2023-06-18,114008.14,1262,84.53
South,2023-10-18,118783.43,1009,37.83
East,2023-03-04,220116.81,4462,9.27
West,2023-05-19,237153.27,1455,85.32
North,2023-06-14,180651.76,2739,85.81
South,2023-06-14,485133.86,4862,1.88
East,2023-03-28,193125.65,4648,11.87
West,2023-06-04,192805.12,3156,80.04
North,2023-04-06,140906.87,2757,60.9
South,2023-04-28,449365.85,2742,50.04
East,2023-10-09,463452.01,1651,84.95
West,2023-07-26,360861.7,1864,76.24
North,2023-12-15,342517.45,4678,89.94
South,2023-04-09,214811.6,3181,3.71
East,2023-01-04,317482.86,1343,20.95
West,2023-05-26,347048.43,3395,49.35
North,2023-12-29,212814.82,4305,0.33
South,2023-10-10,374257.1,4686,70.86
East,2023-08-02,174271.99,1158,90.5
West,2023-12-16,354256.41,4432,30.37
North,2023-06-30,476119.29,1075,12.8
South,2023-09-17,227977.04,4538,42.16
East,2023-05-08,156107.78,3160,67.46
West,2023-12-29,194391.71,4090,91.52
North,2023-12-10,382195.14,3991,58.89
South,2023-02-16,322808.8,3800,61.84
East,2023-05-30,335309.62,3106,52.38
West,2023-12-10,299838.28,4488,98.89
North,2023-03-30,189191.43,2485,9.17
South,2023-07-07,347550.55,3163,1.34
East,2023-02-10,389207.52,3420,8.16
West,2023-08-11,400720.55,3553,43.68
North,2023-06-24,320953.15,1098,79.76
South,2023-07-06,287477.96,3490,30.19
East,2023-09-05,403009.99,2302,39.84
West,2023-08-31,435184.19,4617,0.5
North,2023-10-04,471864.2,1102,44.52
South,2023-11-24,297765.85,1799,89.88
East,2023-12-08,320275.88,4900,62.23
West,2023-03-03,458957.67,4819,31.51
North,2023-11-11,187721.84,4794,36.03
South,2023-07-02,447910.26,3468,87.33
East,2023-12-20,429440.93,3538,72.61
West,2023-05-16,334506.56,1969,23.41
North,2023-01-03,211971.57,3990,95.57
South,2023-07-03,491758.68,1685,14.31
East,2023-12-28,482493.88,2300,0.45
West,2023-06-20,256270.91,2678,66.96
North,2023-04-14,119964.2,4712,6.03
South,2023-10-16,147900.36,4767,45.38
East,2023-05-05,176888.34,4871,11.51
West,2023-09-21,499503.65,3469,48.2
North,2023-10-08,287923.21,2297,8.34
South,2023-08-12,472516.57,3652,5.67
East,2023-02-19,474494.93,3193,84.11
West,2023-01-05,223331.31,4177,92.89
North,2023-12-23,443389.58,4556,29.82
South,2023-02-10,441105.92,3173,16.09
East,2023-12-06,224301.63,3561,39.25
West,2023-10-05,484815.23,3638,19.25
North,2023-01-11,255559.12,3654,60.6
South,2023-09-19,268988.69,2910,85.89
East,2023-05-27,386568.24,4323,60.72
West,2023-03-03,397416.59,3414,46.51
North,2023-11-23,306804.08,2385,96.77
South,2023-02-18,323758.1,3115,30.44
East,2023-01-09,235317.38,2225,53.46
West,2023-09-12,386511.99,3878,55.97
North,2023-12-23,135839.59,4107,39.77
South,2023-06-03,472663.53,1465,4.07
East,2023-02-18,160897.98,3802,62.14
West,2023-01-27,254470.02,3682,82.69
North,2023-01-31,291156.96,2757,23.2
South,2023-05-14,454353.71,3771,1.68
East,2023-08-05,200884.91,3943,77.92
West,2023-04-23,380159.56,1314,2.94
North,2023-09-27,193148.97,4142,80.76
South,2023-06-03,421772.78,2333,65.83
East,2023-09-28,397811.48,4585,19.47
West,2023-11-23,425891.93,2618,82.96
North,2023-06-08,458407.52,1435,83.04
South,2023-06-29,465725.97,2877,23.82
East,2023-11-27,187139.88,4862,50.97
West,2023-02-13,371127.47,3376,32.54
North,2023-07-27,383922.37,4974,5.16
South,2023-07-22,204562.17,1444,46.53
East,2023-09-04,239344.31,3657,71.76
West,2023-01-14,420826.87,3598,71.23
